winner_id

Match ID: 536586, Team ID : 395, Win or loose : 1, Probabilité de l'équipe ID: 0.6415263386703147
Match ID: 536587, Team ID : 37, Win or loose : 1, Probabilité de l'équipe ID: 0.9525972199854239
Match ID: 536588, Team ID : 204, Win or loose : 1, Probabilité de l'équipe ID: 0.6291438096329236
Match ID: 536589, Team ID : 395, Win or loose : 0, Probabilité de l'équipe ID: 0.31553749186096536
Match ID: 536590, Team ID : 37, Win or loose : 0, Probabilité de l'équipe ID: 0.07357835116270076
Match ID: 536591, Team ID : 2721, Win or loose : 0, Probabilité de l'équipe ID: 0.4714129293650222
Match ID: 536592, Team ID : 114, Win or loose : 0, Probabilité de l'équipe ID: 0.053187036683979394
Match ID: 536593, Team ID : 2721, Win or loose : 0, Probabilité de l'équipe ID: 0.2177213309267021
Match ID: 536594, Team ID : 204, Win or loose : 0, Probabilité de l'équipe ID: 0.05527916008219651
Match ID: 536595, Team ID : 204, Win or loose : 1, Probabilité de l'équipe ID: 0.9497164328991273
Match ID: 536596, Team ID : 2721, Win or loose : 0, Probabilité de l'équipe ID: 0.1477129771885476
Match ID: 536597, Team ID : 88, Win or loose : 0, Probabilité de l'équipe ID: 0.35990103906231974
Match ID: 536598, Team ID : 20, Win or loose : 0, Probabilité de l'équipe ID: 0.18688973480775303
Match ID: 536599, Team ID : 3983, Win or loose : 0, Probabilité de l'équipe ID: 0.05591867812692012
Match ID: 536600, Team ID : 3983, Win or loose : 1, Probabilité de l'équipe ID: 0.9513496076487415
Match ID: 536601, Team ID : 88, Win or loose : 0, Probabilité de l'équipe ID: 0.11900361063732942
Match ID: 536602, Team ID : 115, Win or loose : 0, Probabilité de l'équipe ID: 0.17582194123207567
Match ID: 536603, Team ID : 204, Win or loose : 0, Probabilité de l'équipe ID: 0.1891986363800538
Match ID: 536604, Team ID : 395, Win or loose : 0, Probabilité de l'équipe ID: 0.07157289143705219
Match ID: 536605, Team ID : 394, Win or loose : 0, Probabilité de l'équipe ID: 0.0680693157292775
Match ID: 536606, Team ID : 204, Win or loose : 1, Probabilité de l'équipe ID: 0.6173490058258018
Match ID: 536607, Team ID : 394, Win or loose : 0, Probabilité de l'équipe ID: 0.42732870986981675
Match ID: 536608, Team ID : 395, Win or loose : 0, Probabilité de l'équipe ID: 0.06116323391751862
Match ID: 536609, Team ID : 88, Win or loose : 0, Probabilité de l'équipe ID: 0.44548876647020136
Match ID: 536610, Team ID : 394, Win or loose : 0, Probabilité de l'équipe ID: 0.26563616648841376
Match ID: 536611, Team ID : 114, Win or loose : 1, Probabilité de l'équipe ID: 0.9493299604376769
Match ID: 536612, Team ID : 394, Win or loose : 1, Probabilité de l'équipe ID: 0.9521260411710945
Match ID: 536613, Team ID : 394, Win or loose : 1, Probabilité de l'équipe ID: 0.7092781776494657
Match ID: 536614, Team ID : 3983, Win or loose : 0, Probabilité de l'équipe ID: 0.15079944783347668
Match ID: 536615, Team ID : 204, Win or loose : 1, Probabilité de l'équipe ID: 0.5600148492509514
Match ID: 536616, Team ID : 20, Win or loose : 0, Probabilité de l'équipe ID: 0.05550177699781252
Match ID: 536617, Team ID : 20, Win or loose : 0, Probabilité de l'équipe ID: 0.15924121163001523
Match ID: 536618, Team ID : 204, Win or loose : 0, Probabilité de l'équipe ID: 0.05298691874025232
